family,null,measure,scope,estimate,B,boot_mean,boot_bias,se,pct_lo,pct_hi,basic_lo,basic_hi,norm_lo,norm_hi,mcse_lo,mcse_hi,p_pct_2sided,p_norm_2sided,obs,null_mean,cond_sd,z_cond,z_boot,holm_pct_2sided,holm_norm_2sided
iv,N0,viv,V1_HVA,0.005129331518046377,1000,0.006013400789618243,0.000884069271571866,0.010402167045211868,-0.013528960140736308,0.028694511919817887,-0.018435848883725132,0.02378762317682906,-0.015258915890568884,0.02551757892666164,0.0006469616299007371,0.0010974885098841308,0.542,0.6219403721692964,,,,,0.4931022060838194,1.0,1.0
iv,N0,viv,HVA_V1,0.016580934094998993,1000,0.016575144600810627,-5.789494188366412e-06,0.008705696255266742,0.00045832258064577554,0.03548237119846879,-0.002320503008470802,0.03270354560935221,-0.00048223056532382264,0.03364409875532181,0.000596139593558688,0.0009287395380959818,0.044,0.056831115211658956,,,,,1.9046074672049254,0.264,0.34098669126995373
iv,N0,Fviv,all,0.004665105640573589,1000,0.004724956022755533,5.985038218194426e-05,0.001117774580713695,0.0026031753979589177,0.007064227651673883,0.0022659836294732956,0.0067270358831882605,0.002474267462374747,0.0068559438187724316,7.621090003317312e-05,0.00010302886327268973,0.0,2.9986914524332697e-05,0.058558754615342476,0.053893648974768886,,,4.17356569121024,,
iv,N0,Fviv,V1_V1,0.000805405921069067,1000,0.0007864882339267736,-1.891768714229339e-05,0.0012068702331591195,-0.0015446328597526668,0.003266905290802208,-0.001656093448664074,0.003155444701890801,-0.0015600597359228074,0.003170871578060941,9.046594598253509e-05,0.0001236924009535011,0.488,0.5045480289203556,,,,,0.6673508873947663,,
iv,N0,Fviv,HVA_HVA,0.007458983143340895,1000,0.007513359904779536,5.4376761438640515e-05,0.002168760594738419,0.0034823105152039673,0.011705906240940547,0.0032120600457412433,0.011435655771477824,0.0032082123776535935,0.011709753909028196,0.00012769544763337467,0.00013719670221372553,0.0,0.000583255482370708,,,,,3.439283783298611,,
iv,N0,Fviv,V1_HVA,0.005161422907130646,1000,0.005361304871270377,0.00019988196413973057,0.0037691318915091697,-0.002058145352008747,0.01270273449388898,-0.0023798886796276876,0.01238099116627004,-0.0022260756002273263,0.012548921414488618,0.0002927445133227277,0.0003051309325087586,0.146,0.17087645465629198,,,,,1.3693930209123035,,
iv,N0,Fviv,HVA_V1,0.0041748547591864416,1000,0.004250930476148122,7.607571696168023e-05,0.0016253168185981354,0.0013180582498753524,0.0076768388933034564,0.0006728706250694267,0.0070316512684975305,0.0009892337947340962,0.007360475723638787,0.00010973931372362568,0.0001815609966392043,0.006,0.010209828663507307,,,,,2.5686405945071855,,
iv,N0p,viv,all,0.006337296046811178,1000,0.006155696913099391,-0.00018159913371178747,0.0036531292070893537,-0.0008982467468528662,0.013363730981442855,-0.0006891388878204983,0.013572838840475223,-0.0008228371990839549,0.013497429292706312,0.00027085466475184407,0.00031699434031848874,0.094,0.08278363317685222,0.06879060929179234,0.06245331324498115,,,1.7347582545158444,,
iv,N0p,viv,V1_V1,0.0021942495534004575,1000,0.001886115868556857,-0.0003081336848436006,0.004614997968361732,-0.006132760848554604,0.011813871796752135,-0.00742537268995122,0.010521259955355518,-0.006851146464588537,0.011239645571389453,0.0002578814042821939,0.00040924577835173666,0.7,0.6344587328652085,,,,,0.47546056757623867,1.0,1.0
iv,N0p,viv,HVA_HVA,0.00545572362782743,1000,0.004796695054309004,-0.0006590285735184262,0.006356572122531931,-0.006972232153018279,0.0178943062459898,-0.0069828589903349406,0.017883679408673137,-0.0070031577323351555,0.017914604987990017,0.0003831291075017176,0.0005773265255070419,0.454,0.39073744426963974,,,,,0.8582807718784007,1.0,1.0
iv,N0p,viv,V1_HVA,0.003981838510558278,1000,0.00465322974531715,0.0006713912347588724,0.010329877070919409,-0.014716377752993316,0.02649912370046489,-0.018535446679348335,0.02268005477410987,-0.016264720548443762,0.024228397569560318,0.0006156556165201683,0.0010778526864939479,0.664,0.6998906061209449,,,,,0.38546814092956816,1.0,1.0
iv,N0p,viv,HVA_V1,0.01241337949872774,1000,0.01257352736044199,0.00016014786171424968,0.00856774207514365,-0.0035142626005617785,0.03140644590392394,-0.006579686906468461,0.028341021598017258,-0.0043793949685538135,0.029206153966009292,0.0006709985493942983,0.0009036106187092285,0.124,0.14737926854540623,,,,,1.4488507461891134,0.756,0.8842756112724374
iv,N0p,Fviv,all,0.003049243283673704,1000,0.0030047308803919735,-4.4512403281730516e-05,0.0008999577284434228,0.0013441112787072294,0.004890099476605268,0.0012083870907421404,0.0047543752886401785,0.0012853261359245952,0.004813160431422813,5.992950598523126e-05,8.69830446338452e-05,0.0,0.00070351089082335,0.058558754615342476,0.05550951133166877,,,3.3882072316304344,,
iv,N0p,Fviv,V1_V1,0.002333327351163281,1000,0.002259919714984852,-7.340763617842867e-05,0.001188515892583417,3.4586501001361545e-06,0.004779862313217643,-0.00011320761089108136,0.004663196052226425,3.836201699783728e-06,0.004662818500626778,8.713350920381378e-05,0.0001268307180399976,0.05,0.0496197192619181,,,,,1.9632277243608793,,
