# a_re a_im b_re b_im | D on the segment ball | D(a)
491/190 38/5 11693/4560 38/5 | [6e+2 +/- 32.1] + [-7.7e+2 +/- 9.01]j | [6.24e+2 +/- 0.108] + [-7.74e+2 +/- 0.115]j
11693/4560 38/5 5801/2280 38/5 | [6e+2 +/- 34.1] + [-8e+2 +/- 39.2]j | [6.26e+2 +/- 0.126] + [-769.9 +/- 0.0883]j
5801/2280 38/5 3837/1520 38/5 | [6.3e+2 +/- 7.99] + [-8e+2 +/- 43.4]j | [6.28e+2 +/- 0.133] + [-7.66e+2 +/- 0.301]j
3837/1520 38/5 571/228 38/5 | [6.3e+2 +/- 8.08] + [-7.6e+2 +/- 7.44]j | [6.30e+2 +/- 0.130] + [-7.62e+2 +/- 0.427]j
571/228 38/5 11329/4560 38/5 | [6e+2 +/- 40.1] + [-8e+2 +/- 51.6]j | [6.32e+2 +/- 0.116] + [-7.58e+2 +/- 0.552]j
11329/4560 38/5 1873/760 38/5 | [6e+2 +/- 42.1] + [-7.5e+2 +/- 8.38]j | [634.0 +/- 0.0898] + [-753.4 +/- 0.0837]j
1873/760 38/5 11147/4560 38/5 | [6e+2 +/- 44.0] + [-7e+2 +/- 54.3]j | [6.36e+2 +/- 0.106] + [-7.49e+2 +/- 0.358]j
11147/4560 38/5 691/285 38/5 | [6.4e+2 +/- 8.15] + [-7e+2 +/- 50.2]j | [6.38e+2 +/- 0.152] + [-7.45e+2 +/- 0.232]j
691/285 38/5 731/304 38/5 | [6.4e+2 +/- 7.88] + [-7.4e+2 +/- 8.08]j | [6.40e+2 +/- 0.210] + [-7.41e+2 +/- 0.106]j
731/304 38/5 5437/2280 38/5 | [6e+2 +/- 49.9] + [-7e+2 +/- 41.9]j | [641.8 +/- 0.0799] + [-736.9 +/- 0.0809]j
5437/2280 38/5 10783/4560 38/5 | [6e+2 +/- 51.8] + [-7.3e+2 +/- 7.76]j | [6.44e+2 +/- 0.358] + [-7.33e+2 +/- 0.307]j
10783/4560 38/5 891/380 38/5 | [6e+2 +/- 53.7] + [-7e+2 +/- 33.7]j | [6.46e+2 +/- 0.449] + [-7.29e+2 +/- 0.433]j
891/380 38/5 10601/4560 38/5 | [6.5e+2 +/- 8.57] + [-7e+2 +/- 29.6]j | [6.48e+2 +/- 0.550] + [-7.25e+2 +/- 0.558]j
10601/4560 38/5 1051/456 38/5 | [6.5e+2 +/- 7.40] + [-7.2e+2 +/- 8.71]j | [649.4 +/- 0.0955] + [-720.4 +/- 0.0831]j
1051/456 38/5 3473/1520 38/5 | [7e+2 +/- 54.9] + [-7e+2 +/- 21.3]j | [651.3 +/- 0.0846] + [-7.16e+2 +/- 0.351]j
3473/1520 38/5 1291/570 38/5 | [7e+2 +/- 53.0] + [-7.1e+2 +/- 7.13]j | [6.53e+2 +/- 0.238] + [-7.12e+2 +/- 0.226]j
1291/570 38/5 10237/4560 38/5 | [7e+2 +/- 51.2] + [-7e+2 +/- 13.1]j | [655.0 +/- 0.0929] + [-7.08e+2 +/- 0.0995]j
10237/4560 38/5 89/40 38/5 | [7e+2 +/- 49.3] + [-7.0e+2 +/- 8.90]j | [6.57e+2 +/- 0.220] + [-703.9 +/- 0.0847]j
89/40 38/5 2011/912 38/5 | [6.6e+2 +/- 7.45] + [-7e+2 +/- 9.35]j | [658.7 +/- 0.0859] + [-7.00e+2 +/- 0.310]j
2011/912 38/5 2491/1140 38/5 | [6.6e+2 +/- 8.47] + [-7e+2 +/- 13.5]j | [660.5 +/- 0.0921] + [-6.96e+2 +/- 0.436]j
2491/1140 38/5 3291/1520 38/5 | [7e+2 +/- 43.9] + [-6.9e+2 +/- 7.61]j | [6.62e+2 +/- 0.404] + [-691.5 +/- 0.0976]j
3291/1520 38/5 4891/2280 38/5 | [7e+2 +/- 42.1] + [-7e+2 +/- 21.8]j | [6.64e+2 +/- 0.204] + [-687.4 +/- 0.0855]j
4891/2280 38/5 9691/4560 38/5 | [7e+2 +/- 40.3] + [-6.8e+2 +/- 8.26]j | [665.9 +/- 0.0932] + [-6.83e+2 +/- 0.347]j
9691/4560 38/5 40/19 38/5 | [6.7e+2 +/- 8.47] + [-7e+2 +/- 30.0]j | [667.7 +/- 0.0827] + [-6.79e+2 +/- 0.222]j
40/19 38/5 9509/4560 38/5 | [6.7e+2 +/- 7.40] + [-7e+2 +/- 34.1]j | [6.69e+2 +/- 0.540] + [-675.0 +/- 0.0963]j
9509/4560 38/5 4709/2280 38/5 | [7e+2 +/- 35.0] + [-6.7e+2 +/- 8.22]j | [671.2 +/- 0.0963] + [-670.9 +/- 0.0856]j
4709/2280 38/5 3109/1520 38/5 | [7e+2 +/- 33.3] + [-7e+2 +/- 42.4]j | [6.73e+2 +/- 0.112] + [-6.67e+2 +/- 0.311]j
3109/1520 38/5 2309/1140 38/5 | [7e+2 +/- 31.5] + [-6.6e+2 +/- 7.64]j | [674.7 +/- 0.0771] + [-6.63e+2 +/- 0.436]j
2309/1140 38/5 1829/912 38/5 | [7e+2 +/- 29.8] + [-7e+2 +/- 50.6]j | [6.76e+2 +/- 0.502] + [-658.5 +/- 0.0958]j
1829/912 38/5 1509/760 38/5 | [6.8e+2 +/- 8.07] + [-7e+2 +/- 54.8]j | [6.78e+2 +/- 0.215] + [-654.4 +/- 0.0850]j
1509/760 38/5 8963/4560 38/5 | [6.8e+2 +/- 7.74] + [-6.5e+2 +/- 8.84]j | [6.80e+2 +/- 0.237] + [-6.50e+2 +/- 0.346]j
8963/4560 38/5 1109/570 38/5 | [7e+2 +/- 24.7] + [-6e+2 +/- 51.2]j | [6.82e+2 +/- 0.545] + [-6.46e+2 +/- 0.221]j
1109/570 38/5 2927/1520 38/5 | [7e+2 +/- 23.0] + [-6.4e+2 +/- 7.09]j | [683.2 +/- 0.0883] + [-642.0 +/- 0.0961]j
2927/1520 38/5 869/456 38/5 | [7e+2 +/- 21.4] + [-6e+2 +/- 42.9]j | [684.9 +/- 0.0943] + [-637.9 +/- 0.0836]j
869/456 38/5 8599/4560 38/5 | [7e+2 +/- 19.7] + [-6.3e+2 +/- 8.75]j | [6.87e+2 +/- 0.536] + [-6.34e+2 +/- 0.309]j
8599/4560 38/5 709/380 38/5 | [6.9e+2 +/- 8.04] + [-6e+2 +/- 34.7]j | [688.2 +/- 0.0875] + [-6.30e+2 +/- 0.433]j
709/380 38/5 443/240 38/5 | [6.9e+2 +/- 7.69] + [-6e+2 +/- 30.6]j | [6.90e+2 +/- 0.251] + [-625.5 +/- 0.0970]j
443/240 38/5 4163/2280 38/5 | [7e+2 +/- 14.8] + [-6.2e+2 +/- 7.71]j | [6.91e+2 +/- 0.527] + [-621.4 +/- 0.0815]j
4163/2280 38/5 549/304 38/5 | [7e+2 +/- 13.2] + [-6e+2 +/- 22.3]j | [6.93e+2 +/- 0.142] + [-6.17e+2 +/- 0.348]j
549/304 38/5 509/285 38/5 | [7e+2 +/- 11.6] + [-6.1e+2 +/- 8.13]j | [6.95e+2 +/- 0.405] + [-6.13e+2 +/- 0.224]j
509/285 38/5 8053/4560 38/5 | [7e+2 +/- 9.99] + [-6e+2 +/- 14.1]j | [6.96e+2 +/- 0.339] + [-6.09e+2 +/- 0.0987]j
8053/4560 38/5 1327/760 38/5 | [7.0e+2 +/- 8.40] + [-6e+2 +/- 9.88]j | [6.98e+2 +/- 0.229] + [-604.9 +/- 0.0786]j
1327/760 38/5 7871/4560 38/5 | [7.0e+2 +/- 7.24] + [-6.0e+2 +/- 8.33]j | [699.4 +/- 0.0925] + [-6.01e+2 +/- 0.303]j
7871/4560 38/5 389/228 38/5 | [7.0e+2 +/- 8.79] + [-6e+2 +/- 12.5]j | [7.01e+2 +/- 0.0966] + [-5.97e+2 +/- 0.427]j
389/228 38/5 2563/1520 38/5 | [7e+2 +/- 10.4] + [-5.9e+2 +/- 7.50]j | [7.03e+2 +/- 0.547] + [-5.93e+2 +/- 0.551]j
