# a_re a_im b_re b_im | D on the segment ball | D(a)
9/2 63/50 9/2 32/25 | [-3.8e+2 +/- 9.35] + [-2.0e+2 +/- 9.06]j | [-3.85e+2 +/- 0.0937] + [-194.0 +/- 0.0915]j
9/2 32/25 9/2 13/10 | [-3.8e+2 +/- 8.67] + [-2.0e+2 +/- 6.00]j | [-3.84e+2 +/- 0.401] + [-197.1 +/- 0.0724]j
9/2 13/10 9/2 33/25 | [-3.8e+2 +/- 7.98] + [-2.0e+2 +/- 6.42]j | [-3.84e+2 +/- 0.406] + [-200.2 +/- 0.0534]j
9/2 33/25 9/2 67/50 | [-3.8e+2 +/- 7.27] + [-2.0e+2 +/- 9.52]j | [-382.9 +/- 0.0826] + [-203.3 +/- 0.0622]j
9/2 67/50 9/2 34/25 | [-3.8e+2 +/- 6.56] + [-2.1e+2 +/- 6.81]j | [-382.2 +/- 0.0571] + [-206.4 +/- 0.0817]j
9/2 34/25 9/2 69/50 | [-3.8e+2 +/- 5.84] + [-2.1e+2 +/- 5.72]j | [-381.5 +/- 0.0830] + [-209.4 +/- 0.0962]j
9/2 69/50 9/2 7/5 | [-3.8e+2 +/- 5.10] + [-2.1e+2 +/- 8.82]j | [-380.7 +/- 0.0735] + [-212.5 +/- 0.0772]j
9/2 7/5 9/2 71/50 | [-3.8e+2 +/- 5.19] + [-2.2e+2 +/- 7.62]j | [-380.0 +/- 0.0891] + [-215.6 +/- 0.0582]j
9/2 71/50 9/2 36/25 | [-3.8e+2 +/- 5.98] + [-2.2e+2 +/- 5.02]j | [-379.2 +/- 0.0585] + [-218.7 +/- 0.0594]j
9/2 36/25 9/2 73/50 | [-3.8e+2 +/- 6.79] + [-2.2e+2 +/- 8.12]j | [-378.4 +/- 0.0663] + [-221.8 +/- 0.0788]j
9/2 73/50 9/2 37/25 | [-3.8e+2 +/- 7.60] + [-2.3e+2 +/- 8.43]j | [-377.6 +/- 0.0754] + [-224.9 +/- 0.0981]j
9/2 37/25 9/2 3/2 | [-3.8e+2 +/- 8.43] + [-2.3e+2 +/- 5.37]j | [-376.8 +/- 0.0737] + [-227.9 +/- 0.0826]j
9/2 3/2 9/2 38/25 | [-3.8e+2 +/- 9.26] + [-2.3e+2 +/- 7.41]j | [-376.0 +/- 0.0611] + [-231.0 +/- 0.0637]j
9/2 38/25 9/2 77/50 | [-3.7e+2 +/- 9.65] + [-2.4e+2 +/- 9.24]j | [-375.2 +/- 0.0689] + [-234.1 +/- 0.0560]j
9/2 77/50 9/2 39/25 | [-3.7e+2 +/- 8.83] + [-2.4e+2 +/- 6.18]j | [-3.74e+2 +/- 0.404] + [-237.2 +/- 0.0753]j
9/2 39/25 9/2 79/50 | [-3.7e+2 +/- 8.00] + [-2.4e+2 +/- 6.71]j | [-373.5 +/- 0.0577] + [-2.40e+2 +/- 0.308]j
9/2 79/50 9/2 8/5 | [-3.7e+2 +/- 7.15] + [-2.4e+2 +/- 9.81]j | [-3.73e+2 +/- 0.406] + [-243.3 +/- 0.0885]j
9/2 8/5 9/2 81/50 | [-3.7e+2 +/- 6.30] + [-2.5e+2 +/- 6.99]j | [-371.8 +/- 0.0733] + [-246.4 +/- 0.0697]j
9/2 81/50 9/2 41/25 | [-3.7e+2 +/- 5.43] + [-2.5e+2 +/- 6.00]j | [-370.9 +/- 0.0564] + [-249.5 +/- 0.0520]j
