# a_re a_im b_re b_im | D on the segment ball | D(a)
-1/20 29/5 -1/20 289/50 | [5e+2 +/- 50.0] + [-2e+2 +/- 40.7]j | [469.1 +/- 0.0807] + [-177.1 +/- 0.0832]j
-1/20 289/50 -1/20 144/25 | [5e+2 +/- 56.4] + [-2e+2 +/- 44.6]j | [4.66e+2 +/- 0.112] + [-1.77e+2 +/- 0.528]j
-1/20 144/25 -1/20 287/50 | [5e+2 +/- 59.6] + [-2e+2 +/- 45.2]j | [4.63e+2 +/- 0.231] + [-1.76e+2 +/- 0.117]j
-1/20 287/50 -1/20 143/25 | [5e+2 +/- 62.7] + [-2e+2 +/- 45.8]j | [459.7 +/- 0.0818] + [-1.75e+2 +/- 0.417]j
-1/20 143/25 -1/20 57/10 | [5e+2 +/- 65.1] + [-2e+2 +/- 45.7]j | [456.6 +/- 0.0844] + [-1.75e+2 +/- 0.293]j
-1/20 57/10 -1/20 142/25 | [5e+2 +/- 68.3] + [-2e+2 +/- 46.4]j | [453.5 +/- 0.0985] + [-174.2 +/- 0.0814]j
-1/20 142/25 -1/20 283/50 | [4e+2 +/- 69.1] + [-2e+2 +/- 46.8]j | [450.5 +/- 0.0962] + [-173.6 +/- 0.0704]j
-1/20 283/50 -1/20 141/25 | [4e+2 +/- 65.7] + [-2e+2 +/- 47.1]j | [447.4 +/- 0.0595] + [-173.0 +/- 0.0606]j
-1/20 141/25 -1/20 281/50 | [4e+2 +/- 62.6] + [-2e+2 +/- 47.6]j | [4.44e+2 +/- 0.406] + [-172.4 +/- 0.0706]j
-1/20 281/50 -1/20 28/5 | [4e+2 +/- 59.4] + [-2e+2 +/- 48.1]j | [441.3 +/- 0.0633] + [-171.8 +/- 0.0810]j
-1/20 28/5 -1/20 279/50 | [4e+2 +/- 56.0] + [-2e+2 +/- 48.3]j | [438.3 +/- 0.0845] + [-171.2 +/- 0.0922]j
-1/20 279/50 -1/20 139/25 | [4e+2 +/- 53.1] + [-2e+2 +/- 49.0]j | [4.35e+2 +/- 0.314] + [-1.71e+2 +/- 0.417]j
-1/20 139/25 -1/20 277/50 | [4e+2 +/- 49.9] + [-2e+2 +/- 49.4]j | [4.32e+2 +/- 0.305] + [-1.70e+2 +/- 0.113]j
-1/20 277/50 -1/20 138/25 | [4e+2 +/- 46.5] + [-2e+2 +/- 49.6]j | [4.29e+2 +/- 0.307] + [-169.5 +/- 0.0953]j
-1/20 138/25 -1/20 11/2 | [4e+2 +/- 43.7] + [-2e+2 +/- 50.3]j | [426.3 +/- 0.0959] + [-168.9 +/- 0.0858]j
-1/20 11/2 -1/20 137/25 | [4e+2 +/- 40.6] + [-2e+2 +/- 50.8]j | [423.3 +/- 0.0711] + [-168.3 +/- 0.0761]j
-1/20 137/25 -1/20 273/50 | [4e+2 +/- 37.6] + [-2e+2 +/- 51.4]j | [420.3 +/- 0.0813] + [-167.7 +/- 0.0661]j
-1/20 273/50 -1/20 136/25 | [4e+2 +/- 34.6] + [-2e+2 +/- 51.9]j | [417.4 +/- 0.0878] + [-167.1 +/- 0.0604]j
-1/20 136/25 -1/20 271/50 | [4e+2 +/- 31.5] + [-2e+2 +/- 52.3]j | [414.4 +/- 0.0854] + [-166.5 +/- 0.0687]j
-1/20 271/50 -1/20 27/5 | [4e+2 +/- 26.1] + [-2e+2 +/- 50.5]j | [411.5 +/- 0.0596] + [-165.9 +/- 0.0777]j
-1/20 27/5 -1/20 269/50 | [4e+2 +/- 23.2] + [-2e+2 +/- 51.0]j | [408.6 +/- 0.0800] + [-165.3 +/- 0.0872]j
-1/20 269/50 -1/20 134/25 | [4e+2 +/- 22.5] + [-2e+2 +/- 53.8]j | [405.7 +/- 0.0888] + [-164.7 +/- 0.0961]j
-1/20 134/25 -1/20 267/50 | [4e+2 +/- 17.3] + [-2e+2 +/- 52.1]j | [402.8 +/- 0.0862] + [-1.64e+2 +/- 0.205]j
-1/20 267/50 -1/20 133/25 | [4e+2 +/- 17.4] + [-2e+2 +/- 52.5]j | [399.9 +/- 0.0727] + [-1.64e+2 +/- 0.504]j
-1/20 133/25 -1/20 53/10 | [4e+2 +/- 20.2] + [-2e+2 +/- 53.1]j | [397.0 +/- 0.0676] + [-163.0 +/- 0.0954]j
-1/20 53/10 -1/20 132/25 | [4e+2 +/- 23.0] + [-2e+2 +/- 53.7]j | [3.94e+2 +/- 0.203] + [-162.4 +/- 0.0869]j
-1/20 132/25 -1/20 263/50 | [4e+2 +/- 25.8] + [-2e+2 +/- 54.1]j | [391.3 +/- 0.0647] + [-161.8 +/- 0.0784]j
-1/20 263/50 -1/20 131/25 | [4e+2 +/- 28.6] + [-2e+2 +/- 54.8]j | [3.88e+2 +/- 0.507] + [-161.2 +/- 0.0707]j
-1/20 131/25 -1/20 261/50 | [4e+2 +/- 31.3] + [-2e+2 +/- 55.2]j | [385.6 +/- 0.0752] + [-160.6 +/- 0.0625]j
-1/20 261/50 -1/20 26/5 | [4e+2 +/- 34.1] + [-2e+2 +/- 55.8]j | [382.8 +/- 0.0575] + [-160.0 +/- 0.0584]j
-1/20 26/5 -1/20 259/50 | [4e+2 +/- 36.8] + [-2e+2 +/- 56.3]j | [380.0 +/- 0.0660] + [-159.4 +/- 0.0653]j
-1/20 259/50 -1/20 129/25 | [4e+2 +/- 39.1] + [-2e+2 +/- 56.4]j | [377.2 +/- 0.0634] + [-158.8 +/- 0.0718]j
-1/20 129/25 -1/20 257/50 | [4e+2 +/- 42.3] + [-2e+2 +/- 57.4]j | [374.4 +/- 0.0627] + [-158.2 +/- 0.0788]j
-1/20 257/50 -1/20 128/25 | [4e+2 +/- 45.0] + [-2e+2 +/- 58.0]j | [371.6 +/- 0.0873] + [-157.6 +/- 0.0854]j
-1/20 128/25 -1/20 51/10 | [4e+2 +/- 47.8] + [-2e+2 +/- 58.5]j | [368.9 +/- 0.0901] + [-157.0 +/- 0.0915]j
-1/20 51/10 -1/20 127/25 | [4e+2 +/- 50.0] + [-2e+2 +/- 58.6]j | [366.1 +/- 0.0686] + [-1.56e+2 +/- 0.497]j
-1/20 127/25 -1/20 253/50 | [4e+2 +/- 53.6] + [-2e+2 +/- 60.0]j | [363.4 +/- 0.0849] + [-1.56e+2 +/- 0.210]j
